quarter,borrowers,portfolio_fv_usd_bn,top10_share_pct,top25_share_pct,largest_borrower_share_pct,largest_borrower
2018Q3,313,11.2195,25.553723427960247,45.778332367752576,5.51539729934489,"Senior Direct Lending Program, LLC"
2018Q4,318,12.4167,26.81147164705598,45.513703318917266,5.248576513888553,"Senior Direct Lending Program, LLC"
2019Q1,318,13.0636,25.787684864815212,44.041458709697174,6.061881870234851,"Senior Direct Lending Program, LLC"
2019Q2,326,12.9922,26.03331229506935,44.3620018164745,7.061159772786749,"Senior Direct Lending Program, LLC"
2019Q4,337,14.4258,24.10750183698651,40.48856909148886,6.3005171290327056,"Senior Direct Lending Program, LLC"
2020Q1,349,14.3702,22.29057354803691,37.41910342236016,5.781408748660422,"Senior Direct Lending Program, LLC"
2020Q2,341,13.8419,25.15839588495799,41.116465225149724,6.400855373900982,"Senior Direct Lending Program, LLC"
2020Q3,329,14.358,25.45479871848447,40.7709987463435,6.466778102799833,"Senior Direct Lending Program, LLC"
2020Q4,330,15.5151,24.441350684172193,39.23661465282209,7.237465436896959,"Senior Direct Lending Program, LLC"
2021Q1,335,15.4291,23.124485550032084,37.11428404767614,6.861061241420432,"Senior Direct Lending Program, LLC"
2021Q2,352,17.1359,20.428457215553312,34.16803319347102,5.607525720855047,"Senior Direct Lending Program, LLC"
2021Q3,349,17.6767,18.620557004418245,31.71406427670323,5.270780179558402,"Senior Direct Lending Program, LLC"
2021Q4,366,20.0095,18.49271595991904,31.841875109323073,4.93415627576901,"Senior Direct Lending Program, LLC"
2022Q2,418,21.1702,22.959631935456443,35.247659445824794,8.52755288093641,"Ivy Hill Asset Management, L.P"
2022Q3,427,21.3385,23.205473674344496,35.53248822550788,9.176839984066358,"Ivy Hill Asset Management, L.P"
2022Q4,436,21.7798,25.609509729198614,37.8823497001809,10.106153408203932,"Ivy Hill Asset Management, L.P"
2023Q1,434,21.148,26.96519765462455,39.72574238698695,10.853981463968225,"Ivy Hill Asset Management, L.P"
2023Q2,448,21.4965,26.388481845881888,39.280347963621985,10.006280092108017,"Ivy Hill Asset Management, L.P"
2023Q3,462,21.9285,25.180472900563196,38.314522197140704,9.211756390085961,"Ivy Hill Asset Management, L.P"
2023Q4,478,22.8737,24.817148078360738,37.652413033308996,8.685083742464053,"Ivy Hill Asset Management, L.P"
2024Q1,484,23.1243,24.579771063340296,37.26210090683826,8.607828128851468,"Ivy Hill Asset Management, L.P"
2024Q2,501,24.9734,22.6408899068609,34.84027004733036,7.831132324793581,"Ivy Hill Asset Management, L.P"
2024Q3,516,25.9182,21.466768525592055,33.563673403245595,7.539875454313957,"Ivy Hill Asset Management, L.P"
2024Q4,530,26.7195,21.308033458709932,33.45347031194446,7.16817305713056,"Ivy Hill Asset Management, L.P"
2025Q1,544,27.1303,20.921626373464356,32.498350552703066,7.076221051739199,"Ivy Hill Asset Management, L.P"
2025Q2,542,27.8864,21.1594182110276,32.91712089046991,7.4609845659532965,"Ivy Hill Asset Management, L.P"
2025Q3,560,28.6926,20.340784731951793,32.54497675358803,7.03352083812551,"Ivy Hill Asset Management, L.P"
2025Q4,580,29.4848,20.957917299761235,32.61307521163447,8.254761775558933,"Ivy Hill Asset Management, L.P"
2026Q1,583,29.4993,21.56085059645483,33.357740692152014,9.021231012261309,"Ivy Hill Asset Management, L.P"
2026Q2,593,29.3493,22.426429250442087,34.06418551720143,9.686091320747002,"Ivy Hill Asset Management, L.P"
