sample,n,mean_usd_mm,p10_usd_mm,p25_usd_mm,median_usd_mm,p75_usd_mm,p90_usd_mm,p99_usd_mm,max_usd_mm
Pooled 2018Q3-2026Q2,31067,19.859255801976374,0.0,0.9,5.3,19.6,50.6,171.06800000000004,1932.7
Latest quarter 2026Q2,1439,20.395621959694232,0.1,1.3,5.7,17.5,46.74000000000005,191.22599999999866,1896.8
