quarter,positions_with_cost_gt0,share_positions_below_90pct_of_cost,share_fv_below_90pct_of_cost,share_positions_below_70pct_of_cost,share_fv_below_70pct_of_cost,median_fv_over_cost_pct,fv_over_cost_pct
2018Q3,649,12.63482280431433,2.2850652428608482,10.16949152542373,0.9989893840608873,100.0,97.79216930479046
2018Q4,681,12.922173274596183,4.654991526107659,9.104258443465492,0.7578080865144056,100.0,97.35686618890057
2019Q1,738,12.872628726287264,4.969896843962112,9.214092140921409,0.7232427042988073,100.0,97.19868155742888
2019Q2,713,14.305750350631136,4.414622859787135,10.93969144460028,0.7110905445010026,100.0,97.02043132803632
2019Q4,649,15.562403697996919,6.317171618927199,9.861325115562405,0.8447905739157016,100.0,98.1647443094825
2020Q1,744,19.623655913978492,12.058429599866065,10.887096774193548,2.0369440258943023,96.6816816816817,92.76782544139957
2020Q2,687,23.580786026200872,15.957870642009112,11.790393013100436,1.6544610325169684,96.94117647058823,93.13681292432327
2020Q3,669,21.973094170403588,12.966270883681833,11.80866965620329,1.2167699905432383,100.0,95.14910536779324
2020Q4,693,18.75901875901876,9.897396343083814,9.523809523809524,1.4745629784227685,100.0,97.4921767980797
2021Q1,703,16.927453769559033,7.599861607055429,9.103840682788052,1.297760253807438,100.0,98.72412579582173
2021Q2,690,12.89855072463768,4.079974087924384,9.130434782608695,1.1583875622037043,100.0,100.23045652618957
2021Q3,708,11.864406779661017,3.828136519855268,7.203389830508475,1.1994827762213174,100.0,100.2836605830927
2021Q4,772,9.585492227979273,2.7507547802750754,6.0880829015544045,0.6073290040905837,100.0,101.00706713780919
2022Q2,897,10.033444816053512,3.8228072084518105,6.243032329988852,0.8080884544598629,100.0,100.27709753359511
2022Q3,909,12.43124312431243,7.641300471157997,6.6006600660066,0.9840819927543033,100.0,99.39446165311969
2022Q4,952,13.340336134453782,11.654372055613006,6.302521008403361,1.2239457658278754,100.0,98.80597014925372
2023Q1,967,12.20268872802482,8.915762978103295,6.204756980351603,1.5977781562860767,100.0,98.68592974203905
2023Q2,1090,13.119266055045872,10.1141902177202,6.697247706422019,2.2144429910109533,100.0,99.12799276939536
2023Q3,1035,11.980676328502415,8.81481988456186,5.507246376811594,1.4838135651221682,100.0,100.2950054884742
2023Q4,1070,12.616822429906541,8.771714926920604,5.887850467289719,1.2861623801878497,100.0,100.90922726711253
2024Q1,1104,11.322463768115941,7.292802381323226,5.615942028985507,1.5259678452139902,100.0,101.40235479839505
2024Q2,1158,11.57167530224525,6.800810793488014,6.390328151986183,1.8803679015510832,100.0,101.0794642748728
2024Q3,1168,11.13013698630137,5.518311392082624,6.763698630136987,1.0933960115939345,100.0,101.35184279988269
2024Q4,1218,11.658456486042693,5.8232751193125205,6.732348111658457,1.0489012759134806,100.0,101.31153881153881
2025Q1,1242,11.191626409017713,5.8924459794544815,6.280193236714976,1.1143582477270044,100.0,101.31752404070582
2025Q2,1278,11.971830985915492,7.542887513870883,6.494522691705789,1.418151913553424,100.0,101.10838376110831
2025Q3,1286,11.741835147744945,6.674977215826359,6.920684292379471,1.18372948114937,100.0,100.44142614601019
2025Q4,1305,11.57088122605364,6.295982899883439,5.823754789272031,0.5053233967791155,100.0,100.80307966864844
2026Q1,1315,13.2319391634981,6.869091638914307,6.996197718631179,2.0144981273535647,100.0,99.500126486213
2026Q2,1342,14.754098360655737,8.18295564184824,7.451564828614009,2.7100372634385326,100.0,98.9037762935305
