year,positions_with_rate,positions_total,rate_coverage_share_of_positions_pct,rate_coverage_share_of_fv_pct,fv_weighted_all_in_rate_pct,equal_weighted_all_in_rate_pct
2018,1005,1562,64.34058898847631,89.28042578756315,9.644479137542945,8.901213930348256
2019,1592,2410,66.05809128630706,90.05325876447571,9.566771441503223,8.739765703517588
2020,2109,3131,67.35867135100607,88.67938820904465,8.3685772943296,7.7071929824561405
2021,2155,3218,66.96706028589186,87.39338260414057,8.13439435523146,7.692979118329467
2022,2091,2985,70.05025125628141,82.7230375572614,10.012238564610936,9.45336681013869
2023,3219,4467,72.06178643384823,80.32538677846048,11.927956931688922,11.426803355079219
2024,3594,4969,72.32843630509157,81.63584995939858,11.339316310821754,10.989966611018364
2025,3954,5467,72.3248582403512,82.61375813757077,10.066885211717189,9.739868487607486
2026,2057,2858,71.97340797760671,83.20707714372135,9.608817367898673,9.22181332036947
